dk2,,,,,,,,,,,
23-1121-09:54,,,,,,,,,,,
3.0.19 - Flavor: beta - Corresponds to SVN Revision 13790,,,,,,,,,,,
For more info visit:,,,,,,,,,,,
https://github.com/Psychtoolbox-3/Psychtoolbox-3,,,,,,,,,,,
,,,,,,,,,,,
imgRatio,1,,,,,,,,,,
fontSize,30,,,,,,,,,,
ifi (ms),16.673636,,,,,,,,,,
ScreenW,1680,,,,,,,,,,
ScreenH,1050,,,,,,,,,,
,,,,,,,,,,,
repeatCnt,trialCnt,image_type,context,target_file_num,ecc,target_pos,target_num,resp,correct,RT,fixTime
1,1,0,-1,5,11,1,7,4,0,0.56775,0.820439
1,2,0,-1,6,1,2,3,3,1,0.265795,0.901024
1,3,0,-1,2,3,2,3,7,0,0.619691,0.982683
1,4,0,-1,1,1,1,1,1,1,0.206007,1.022767
1,5,0,-1,4,9,0,1,1,1,0.371827,0.941018
1,6,0,-1,3,6,3,7,7,1,0.737179,0.981032
1,1,2,1,6,11,0,7,0,0,0.821583,0.829804
1,2,1,1,1,6,0,1,1,1,0.095293,1.028953
1,3,1,0,39,11,3,3,3,1,0.408335,0.973564
1,4,1,0,36,11,0,4,4,1,0.437004,0.944051
1,5,2,1,8,3,0,7,0,0,0.562898,0.98991
1,6,1,1,19,1,2,1,1,1,0.276207,1.018728
1,7,1,1,13,1,1,3,3,1,0.493817,0.826198
1,8,2,0,31,11,0,3,3,1,0.713038,0.868089
1,9,2,1,3,11,0,7,7,1,0.673377,1.12052
1,10,1,1,3,1,3,4,4,1,0.770006,1.0255
1,11,2,0,43,9,3,7,7,1,0.547508,0.899517
1,12,2,0,34,9,3,4,4,1,0.637906,1.135488
1,13,2,0,54,1,0,3,3,1,0.186844,0.82852
1,14,2,1,24,3,2,7,7,1,0.5521,1.06544
1,15,1,1,22,3,1,7,7,1,0.544727,0.826656
1,16,1,0,52,9,3,7,7,1,0.516998,0.964469
1,17,1,0,60,1,2,7,7,1,0.39771,0.865792
1,18,2,1,25,1,2,1,1,1,0.414709,0.834857
1,19,2,1,18,3,3,4,4,1,0.566018,1.071847
1,20,1,0,40,6,1,7,7,1,0.573824,0.977877
1,21,1,0,54,6,0,1,1,1,0.323399,1.158051
1,22,1,0,50,9,3,3,3,1,0.51055,0.980742
1,23,1,0,31,3,3,4,4,1,0.568766,1.011386
1,24,1,1,20,6,0,1,1,1,0.701437,0.956266
1,25,2,0,60,6,0,4,4,1,0.565085,0.808252
1,26,1,0,32,3,1,7,7,1,0.422338,1.059076
1,27,1,0,55,1,3,1,1,1,1.077138,0.986329
1,28,1,1,2,1,3,1,1,1,0.070709,1.182097
1,29,2,0,48,11,2,4,4,1,1.336786,1.068229
1,30,1,0,57,9,1,7,7,1,0.45707,0.947895
1,31,1,1,9,9,1,3,0,0,0.533007,0.871833
1,32,1,0,42,6,0,3,4,0,0.249272,0.999552
1,33,1,1,7,9,1,1,1,1,0.659959,0.993864
1,34,1,0,34,11,0,4,4,1,0.786644,0.956627
1,35,2,0,44,9,3,4,4,1,0.282436,1.036363
1,36,1,0,44,3,2,1,1,1,1.109271,0.951686
1,37,1,1,18,9,1,1,3,0,0.799782,0.853027
1,38,1,0,43,3,1,7,1,0,1.427859,0.855195
1,39,1,1,26,3,3,7,7,1,0.910038,1.029011
1,40,2,1,19,9,2,4,4,1,0.61246,0.823136
1,41,1,1,28,9,0,7,7,1,0.570163,0.808946
1,42,2,1,26,6,2,3,3,1,0.324028,0.903357
1,43,1,1,8,1,1,3,3,1,0.250916,1.096954
1,44,2,1,7,6,2,3,3,1,0.382625,0.833919
1,45,1,1,29,3,1,3,3,1,0.463507,0.865339
1,46,1,0,33,1,3,4,4,1,0.494068,0.814821
1,47,2,1,13,11,1,4,4,1,0.611991,1.163886
1,48,1,0,41,3,0,1,1,1,0.520338,1.142478
1,49,1,1,24,3,2,7,7,1,0.760502,1.137524
