dk2,,,,,,,,,,,
1,50,2,1,14,11,2,1,0,0,0.497398,1.130356
1,51,1,1,12,11,3,3,0,0,0.525136,0.820327
1,52,2,0,53,1,2,3,3,1,0.229675,1.106025
1,53,1,1,10,6,1,3,3,1,0.430981,0.945069
1,54,2,1,30,9,0,7,0,0,0.590769,0.98457
1,55,1,0,48,11,3,7,4,0,0.686266,1.183105
1,56,2,0,38,1,3,1,1,1,0.256347,1.159467
1,57,1,1,6,6,1,1,1,1,0.354694,1.07189
1,58,2,0,33,11,2,1,1,1,0.244769,1.150565
1,59,1,1,23,9,3,4,4,1,0.415343,0.920024
1,60,2,1,2,3,3,7,4,0,0.459999,0.921283
1,61,2,1,11,9,1,3,3,1,0.254956,1.04379
1,62,2,1,21,11,1,7,7,1,0.594395,0.887178
1,63,2,1,10,1,3,4,4,1,0.243116,0.938453
1,64,2,1,4,6,0,4,4,1,0.510236,1.019492
1,65,2,0,52,11,1,3,3,1,0.847545,0.803754
1,66,2,0,42,6,3,1,1,1,0.30551,1.152702
1,67,2,0,47,3,3,1,1,1,0.257432,1.048726
1,68,2,0,59,11,2,7,7,1,0.565403,0.843012
1,69,1,1,21,1,3,4,4,1,0.326979,1.062989
1,70,1,1,11,3,3,4,4,1,0.567162,1.050033
1,71,2,1,29,11,0,4,3,0,0.772442,1.030976
1,72,2,0,51,1,2,4,4,1,0.311479,1.165725
1,73,2,1,28,1,1,4,4,1,0.244662,1.034431
1,74,1,0,49,6,0,7,7,1,0.390472,0.960438
1,75,1,0,38,9,2,7,7,1,0.48712,1.146128
1,76,2,0,45,9,1,3,3,1,0.242363,1.167995
1,77,2,0,56,6,0,7,7,1,0.515539,0.905212
1,78,2,1,9,6,1,4,4,1,0.387291,0.99823
1,79,1,0,45,9,0,7,7,1,0.46672,0.842259
1,80,2,0,41,6,0,7,7,1,0.375757,1.045594
1,81,1,0,37,11,3,4,4,1,0.270513,1.007814
1,82,2,1,23,9,1,4,4,1,0.59497,1.132746
1,83,2,0,37,3,0,1,0,0,0.708332,1.035423
1,84,2,0,40,6,0,4,4,1,0.306257,0.876625
1,85,1,1,5,3,1,1,1,1,0.472148,0.929355
1,86,1,0,58,1,1,3,3,1,0.492027,1.120463
1,87,1,1,4,11,2,3,0,0,0.836169,0.903601
1,88,2,1,16,3,2,1,1,1,0.211949,1.067063
1,89,2,0,46,1,3,3,3,1,0.321729,0.886228
1,90,2,1,15,6,0,7,0,0,0.52751,1.155205
1,91,1,1,15,9,1,7,7,1,0.783044,0.851512
1,92,2,1,12,1,0,4,4,1,0.808714,0.958815
1,93,1,0,51,6,1,4,4,1,0.366975,0.796254
1,94,2,1,20,6,3,1,1,1,0.477219,0.984707
1,95,1,0,59,1,1,4,4,1,0.502879,0.939244
1,96,1,1,30,11,1,4,4,1,0.892571,0.899994
1,97,1,0,35,9,2,3,3,1,0.288087,0.795628
1,98,1,1,17,6,1,1,1,1,0.500448,1.020929
1,99,2,0,36,3,0,7,7,1,0.516404,1.070962
1,100,2,0,35,1,3,3,3,1,0.166025,1.069255
1,101,1,1,27,11,3,3,4,0,0.588501,1.094026
1,102,2,0,55,9,2,7,7,1,0.370187,1.082
1,103,2,0,58,9,3,1,1,1,0.167958,1.127151
1,104,2,1,1,1,2,4,4,1,0.519346,0.875691
1,105,1,0,47,6,2,4,4,1,0.268198,0.994168
1,106,2,0,32,6,0,3,3,1,0.503685,1.006028
1,107,1,0,53,3,0,4,4,1,0.476597,1.152279
1,108,1,0,46,1,1,7,7,1,0.592501,0.846339
1,109,2,1,17,1,3,3,3,1,0.26659,1.192667
1,110,1,1,16,11,0,1,7,0,0.718503,1.184979
1,111,1,0,56,11,3,7,7,1,0.553243,0.910947
1,112,1,1,25,11,1,3,3,1,0.367779,0.887342
1,113,2,1,22,3,2,7,7,1,0.511639,1.01558
1,114,2,1,5,9,1,7,7,1,0.522549,1.033205
1,115,2,0,39,3,1,3,3,1,0.703847,0.888007
1,116,2,0,50,11,1,3,3,1,0.657637,1.107508
1,117,2,1,27,9,2,7,7,1,0.495166,1.154831
1,118,2,0,57,3,3,1,1,1,0.173084,1.130247
1,119,2,0,49,3,3,7,7,1,0.871729,0.876449
1,120,1,1,14,6,0,7,7,1,0.404836,1.097123
