dk1,,,,,,,,,,,
23-1121-09:21,,,,,,,,,,,
3.0.19 - Flavor: beta - Corresponds to SVN Revision 13790,,,,,,,,,,,
For more info visit:,,,,,,,,,,,
https://github.com/Psychtoolbox-3/Psychtoolbox-3,,,,,,,,,,,
,,,,,,,,,,,
imgRatio,1,,,,,,,,,,
fontSize,30,,,,,,,,,,
ifi (ms),16.629082,,,,,,,,,,
ScreenW,1680,,,,,,,,,,
ScreenH,1050,,,,,,,,,,
,,,,,,,,,,,
repeatCnt,trialCnt,image_type,context,target_file_num,ecc,target_pos,target_num,resp,correct,RT,fixTime
1,91,2,1,2,3,2,3,3,1,1.902907,1.172749
1,92,1,1,17,6,2,7,7,1,0.693023,0.998877
1,93,2,0,53,3,3,7,7,1,0.700005,1.103775
1,94,1,1,26,11,1,1,1,1,0.647704,1.009712
1,95,1,1,7,6,2,7,7,1,0.570464,0.926002
1,96,1,0,52,3,1,7,1,0,2.773386,1.002551
1,97,1,0,60,11,3,7,3,0,0.105327,1.10397
1,98,2,0,50,6,3,7,7,1,0.598734,1.052943
1,99,2,1,18,1,1,7,7,1,0.382156,1.158518
1,100,2,1,22,1,0,4,4,1,0.665142,0.846308
1,101,1,0,32,1,1,3,3,1,0.674663,0.891848
1,102,2,1,26,11,1,3,0,0,0.815488,1.088786
1,103,2,0,33,11,1,3,3,1,0.400583,1.124406
1,104,2,1,10,3,0,3,3,1,0.142982,0.961913
1,105,2,1,16,1,2,4,4,1,0.618351,0.895573
1,106,2,0,39,9,2,7,0,0,0.789673,0.979597
1,107,1,0,36,6,1,4,4,1,0.316266,1.038567
1,108,2,1,5,9,3,3,4,0,0.573859,0.966701
1,109,1,0,44,3,2,1,1,1,0.255438,0.98397
1,110,2,1,8,6,1,3,3,1,0.20458,1.110891
1,111,1,1,14,1,3,7,7,1,0.52589,1.096931
1,112,2,1,24,3,0,1,1,1,0.192659,0.8692
1,113,1,1,3,11,0,3,0,0,0.745015,1.146527
1,114,2,1,3,11,0,1,0,0,0.737385,1.172419
1,115,2,0,57,6,3,1,1,1,0.409502,1.001694
1,116,2,0,44,6,1,3,3,1,0.414604,0.980795
1,117,1,0,31,1,2,1,1,1,0.255022,1.019698
1,118,2,1,9,3,1,4,4,1,0.304356,0.908455
1,119,1,0,41,6,1,7,7,1,0.687597,0.863013
1,120,2,0,36,9,3,4,4,1,0.518179,0.899119
